PICO_IDX,SUB_PICO_IDX,Date,Ref,PMID
15,15,1946-2018,1. Dhir V. Comparison of two different folic acid doses with methotrexate - a randomized controlled trial (FOLVARI Study). Arthritis Research & Therapy. 2015;17:156.,26063325
15,15,1946-2018,2. Morgan Sea. Supplementation with Folic Acid during Methotrexate Therapy for Rheumatoid Arthritis. Ann Intern Med. 1994;121:833-41.,7978695
28,28,1946-2018,1.  Menon Nea. Comparison of Intra-articular Glucocorticoid Injections with DMARDs versus DMARDs alone in Rheumatoid Arthritis. Journal of the association of physicians of india. 2014;62:673-6.,25856933
12-14,12a,1946-2018,"1.  Mueller RBea. Superiority of a Treat-to-Target Strategy over Conventional Treatment with Fixed csDMARD and Corticosteroids: A Multi-Center Randomized Controlled Trial in RA Patients with an Inadequate Response to Conventional Synthetic DMARDs, and New Therapy with Certolizumab Pegol. Journal of Clinical Medicine. 2019;8.",30832414
12-14,12a,1946-2018,"2. Grigor C, Capell H, Stirling A, McMahon AD, Lock P, Vallance R, et al. Effect of a treatment strategy of tight control for rheumatoid arthritis (the TICORA study): a single-blind randomised controlled trial. Lancet. 2004;364(9430):263.",15262104
12-14,12a,1946-2018,"3. Pope JE, Haraoui B, Rampakakis E, Psaradellis E, Thorne C, Sampalis JS. Treating to a target in established active rheumatoid arthritis patients receiving a tumor necrosis factor inhibitor: results from a real-world cluster-randomized adalimumab trial. Arthritis care & research. 2013;65(9):1401.",23509040
12-14,12a,1946-2018,"4. Verstappen SM, Jacobs JW, Veen MJVD, Heurkens AH, Schenk Y, Borg EJt, et al. Intensive treatment with methotrexate in early rheumatoid arthritis: aiming for remission. Computer Assisted Management in Early Rheumatoid Arthritis (CAMERA, an open-label strategy trial). Annals of the Rheumatic Diseases. 2007;66(11):1443.",17519278
12-14,12a,1946-2018,"5. Fransen J. Effectiveness of systematic monitoring of rheumatoid arthritis disease activity in daily practice: a multicentre, cluster randomised controlled trial. Ann Rheum Dis BMJ. 2005; 64:1294–1298.",15829574
12-14,12a,1946-2018,"6. Verstappen SMB, M. F.; et. al. Adverse events and factors associated with toxicity in patients with early rheumatoid arthritis treated with methotrexate tight control therapy: the CAMERA study. Ann Rheum Dis BMJ. 2010;69(6):1044-8.",19581281
12-14,13,1946-2018,1. Akdemir G. Comparison between low disease activity or das remission as treatment target in patients with early active rheumatoid arthritis. RMD Open. 2018;4(1).,29862045
